IHID,ProgramID,ProgramName,GovernmentName,GovernmentType,CensusID,Census Type,AddressStreet,City,County,State,name,Government Address: Zip,Program Applicable Areas,Year Program Adopted,Year Program Updated,3rd Party Managing Entity,Data Entry Year,Unit- vs. Fee-based Program?,Program Type and Development Type,Program Type,Development Type,(Ownership) Resale Restriction Exists?,(Ownership) Resale Formula Exists?,(Rental) Rent restriction Exists?,(Rental) Rent restriction Exists?,(Rental) Compliance Monitoring Exists?,(Rental) Timing of Income Certification,(Rental) Noncompliance Remedies/Enforcement,"""Right of 1st Refusal"" Exists?",Incentive,Affordable Housing Compliance Option,Minimum Project Size,Minimum Set-aside,Any Set-aside Requirement At 20% Or More?,Highest Income Served,Lowest Income Served,(Rental) Income Requirement Type,(Rental) Single Income Requirement Detail,(Rental) Multiple Tiers of Income Targeting Detail,(Ownership) Income Requirement Type,(Ownership) Single Income Requirement Detail,(Ownership) Multiple Tiers of Income Targeting Detail,(Rental) Term of Affordability,(Rental) Affordability Term Restart?,(Ownership) Term of Affordability,(Ownership) Affordability Term Restart?,TotalAffordableRentalUnits,TotalAffordableOwnershipUnits,TotalAffordableUnits,In-Lieu Fees,Program Type,Commercial Development Type,Office Development Fee Rate,Industrial Development Fee Rate,Retail/Service Development Fee Rate,Hotel Development Fee Rate,R&D Fee Rate,Commercial Development Exemptions,Residential Development Type,Rental Fee Rate,Single Family For-Sale Fee Rate,Multifamily For-Sale Fee Rate,Townhouse For-Sale Fee Rate,Alternative Compliance Option,Fee Amount - Residential Development,Fees Amount - Commercial Development,Total Affordable Units
261,"Sharon, CT: Incentive Housing Zone",Incentive Housing Zone,Sharon,Town or city,0600000US0900567960,County Subdivision,"63 Main Street, Sharon, CT 06069",Sharon,Litchfield,CT,Connecticut,6069,"Certain zones, neighborhoods, or districts",2008,,Sharon Affordable Housing,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,,No,Yes,Yes,,None,No,Density bonus,On-site units,,20% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,30 - 80% AMI,,Single income targeting requirement,30 - 80% AMI,,30 years,,30 years,,0,0,0,,,,,,,,,,,,,,,,,,
265,"Torrington, CT: Incentive Housing Zone",Incentive Housing Zone,Torrington,Town or city,1600000US0976500,Place,"140 Main Street, Torrington, CT 06790",Torrington,Litchfield,CT,Connecticut,6790,"Certain zones, neighborhoods, or districts",2011,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,,Yes,Yes,Every time a new tenant moves in and annually,Notice of violation and opportunity to cure,,"Density bonus, other zoning variance",On-site units,,20% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Multiple tiers of income targeting,,,30 years,No,30 years,No,0,0,0,,,,,,,,,,,,,,,,,,
266,"Westbrook, CT: Incentive Housing Zone",Incentive Housing Zone,Westbrook,Town or city,0600000US0900781680,County Subdivision,"866 Boston Post Road, Westbrook, CT 06498",Westbrook,Middlesex,CT,Connecticut,6498,"Certain zones, neighborhoods, or districts",2011,2019,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,No,,"Notice of violation and opportunity to cure, injunction/forced compliance",No,Density bonus,On-site units,,20% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,No,30 years,No,0,8,8,,,,,,,,,,,,,,,,,,
273,"Sussex County, DE: Sussex County Rental Program",Sussex County Rental Program,Sussex County,County,0500000US10005,County,"22215 DuPont Boulevard, Georgetown, DE 19947",Georgetown,Sussex County,DE,Delaware,19947,Entire jurisdiction,2008,2016,None,2019,Traditional Inclusionary Housing,"Voluntary program, rental development only",Voluntary program,Rental only,,,,Yes,Yes,Annually,"Notice of violation and opportunity to cure, revocation/denial/suspension of permits, revocation/denial/suspension of incentives granted under the inclusionary program",No,"Density bonus, expedited permitting",On-site units,,13% of total project units,No,80% AMI,80% AMI,Multiple options of income targeting requirement,,,,,,30 years,,,,0,,,,,,,,,,,,,,,,,,,,
275,"Boynton Beach, FL: Workforce Housing Program",Workforce Housing Program,Boynton Beach,Town or city,1600000US1207875,Place,"City Hall: 3301 Quantum Blvd, Suite 101, Boynton Beach, FL 33426",Boynton Beach,Palm Beach,FL,Florida,33426,"Certain zones, neighborhoods, or districts",2005,2017,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,No,Yes,Yes,Every time a new tenant moves in,,,"Density bonus, other zoning variance","On-site units, off-site units, rehab regulated units, renovate unregulated units, in-lieu fee, donate land",,10% of total project units,No,120% AMI,80% AMI,Multiple tiers of income targeting,,"Low Income (below 80% of BB MHI), Moderate Income (between 80 and 120% of BB MHI)",Multiple tiers of income targeting,,"Low Income (below 80% of BB MHI), Moderate Income (between 80 and 120% of BB MHI)",15 years,No,15 years,,0,0,0,$0 ,,,,,,,,,,,,,,,,,
281,"Fort Lauderdale, FL: Parking Reduction",Parking Reduction,Fort Lauderdale,Town or city,1600000US1224000,Place,"700 NW 19th Avenue, Fort Lauderdale, FL 33311",Fort Lauderdale,United States,FL,Florida,33311,Entire jurisdiction,2018,,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,No,No,Yes,Yes,Annually,None,,Other zoning variances,On-site units,,The set-aside requirement varies.,,100% AMI,50% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,15 years,No,5 years,No,0,0,0,,,,,,,,,,,,,,,,,,
285,"Jupiter, FL: Workforce Housing Requirements (Section 27-3192)",Workforce Housing Requirements (Section 27-3192),Jupiter,Town or city,1600000US1235875,Place,"210 Military Trail, Jupiter, FL 33458 US",Jupiter,Palm Beach,FL,Florida,33458,Entire jurisdiction,2015,2017,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,,,Yes,Yes,,"Notice of violation and opportunity to cure, financial penalty",,"Density bonus, other zoning variance, expedited permitting, unit concessions","On-site units, off-site units, in-lieu fee, donate land",10 units,6% of total project units. And the set-aside requirement varies.,No,140% AMI,80% AMI,Multiple tiers of income targeting,,"Low (61%-80% of AMI), Moderate-low (81%-100% of AMI) and Moderate-high (101%-120% of AMI)",Multiple tiers of income targeting,,"Low (61%-80% of AMI), Moderate-low (81%-100% of AMI), Moderate-high (101%-120% of AMI) and Middle (121%-140% of AMI)",30 years,No,In perpetuity,,0,0,0,"$400,000 ",,,,,,,,,,,,,,,,,
314,"Evanston, IL: Inclusionary Housing Ordinance",Inclusionary Housing Ordinance,Evanston,Town or city,1600000US1724582,Place,"2100 Ridge Avenue, Evanston, IL 60201",Evanston,Cook,IL,Illinois,60201,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",2007,2019,"Community Partners for Affordable Housing manages the wait list, and income certifications",2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Every time a new tenant moves in and annually,"Notice of violation and opportunity to cure, financial penalty",No,"Density bonus, other zoning variance, expedited permitting, fee reduction/waiver, unit concessions","On-site units, in-lieu fee, other",5 units,10% of total project units. And the set-aside requirement varies.,Yes,100% AMI,60% AMI,"Single income targeting requirement, multiple options of income targeting requirement",0 - 60% AMI,,"Single income targeting requirement, multiple options of income targeting requirement",0 - 100% AMI,,30 years,No,99 years,Yes,0,0,0,$0 ,,,,,,,,,,,,,,,,,
317,"St. Charles, IL: Inclusionary Housing Ordinance",Inclusionary Housing Ordinance,St. Charles,Town or city,1600000US1766703,Place,"2E Main Street, St. Charles, IL 60174",St. Charles,Kane,IL,Illinois,60174,Entire jurisdiction,2008,2016,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,No,No,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure, financial penalty, injunction/forced compliance",No,"Density bonus, fee reduction/waiver, unit concessions","On-site units, in-lieu fee",,5% of total project units. And the set-aside requirement varies.,No,80% AMI,60% AMI,Single income targeting requirement,0 - 60% AMI,,Single income targeting requirement,0 - 80% AMI,,In perpetuity,,15 years,No,0,0,0,"$700,000 - $800,000",,,,,,,,,,,,,,,,,
320,"City of Attleboro, MA: Section 17-10.6 Open Space Residential Development- Affordable Housing",Section 17-10.6 Open Space Residential Development- Affordable Housing,City of Attleboro,Town or city,1600000US2502690,Place,"77 Park Street, Attleboro, MA 02703",Attleboro,Bristol,MA,Massachusetts,2703,"Certain zones, neighborhoods, or districts",,,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,On-site units,5 units,,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
325,"City of Brockton, MA: Section 27-157 Thatcher Street Smart Growth Overlay District",Section 27-157 Thatcher Street Smart Growth Overlay District,City of Brockton,Town or city,1600000US2509000,Place,"45 School Street, Brockton, MA 02301",Brockton,Plymouth,MA,Massachusetts,2301,"Certain zones, neighborhoods, or districts",2017,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,On-site units,12 units,20% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
330,"City of Chelsea, MA: Section 34-156 Inclusionary Housing",Section 34-156 Inclusionary Housing,City of Chelsea,Town or city,1600000US2513205,Place,"500 Broadway, Chelsea, MA 02150",Chelsea,Suffolk,MA,Massachusetts,2150,Entire jurisdiction,2017,2019,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,"On-site units, in-lieu fee",10 units,15% of total project units. And the set-aside requirement varies.,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,$0 ,,,,,,,,,,,,,,,,,
331,"City of Chelsea, MA: Section 34-183 Gerrish Avenue Smart Growth Overlay District",Section 34-183 Gerrish Avenue Smart Growth Overlay District,City of Chelsea,Town or city,1600000US2513205,Place,"500 Broadway, Chelsea, MA 02150",Chelsea,Suffolk,MA,Massachusetts,2150,"Certain zones, neighborhoods, or districts",2005,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,"Expedited permitting, tax relief/abatement",On-site units,,20% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
332,"City of Chelsea, MA: Section 34-186 Central Avenue Smart Growth Overlay District",Section 34-186 Central Avenue Smart Growth Overlay District,City of Chelsea,Town or city,1600000US2513205,Place,"500 Broadway, Chelsea, MA 02150",Chelsea,Suffolk,MA,Massachusetts,2150,"Certain zones, neighborhoods, or districts",2019,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,"Density bonus, other zoning variance, expedited permitting",On-site units,,20% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
334,"City of Easthampton, MA: Section 7.4.2 Smart Growth Zoning Overlay District",Section 7.4.2 Smart Growth Zoning Overlay District,City of Easthampton,Town or city,1600000US2519370,Place,"50 Payson Avenue, Easthampton, MA 01027",Easthampton,Hampshire,MA,Massachusetts,1027,"Certain zones, neighborhoods, or districts",2009,,"Wayfinders, Inc.",2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,On-site units,,20% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
338,"City of Framingham, MA: Rules and Regulations Governing the Subdivision of Land in Framingham",Rules and Regulations Governing the Subdivision of Land in Framingham,City of Framingham,Town or city,1600000US2524960,Place,"150 Concord Street, Framingham, MA 01702",Framingham,Middlesex,MA,Massachusetts,1702,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",2017,,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,"On-site units, other",10 units,,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
346,"City of Newburyport, MA: Section 30 Inclusionary Affordable Housing",Section 30 Inclusionary Affordable Housing,City of Newburyport,Town or city,1600000US2545245,Place,"60 Pleasant Street, Newburyport, MA 01950",Newburyport,Essex,MA,Massachusetts,1950,Entire jurisdiction,2017,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,"On-site units, off-site units, in-lieu fee",6 units,12% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
349,"City of Northampton, MA: Subdivision affordability requirement for waivers",Subdivision affordability requirement for waivers,City of Northampton,Town or city,1600000US2546330,Place,"210 Main Street, Northampton, MA 01060",Northampton,Hampshire,MA,Massachusetts,1060,Entire jurisdiction,2003,,It is up to the developer who does the needs testing.,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,,,,,,,,,Other zoning variances,"On-site units, off-site units",,The set-aside requirement varies.,,,,,,,,,,99 years,No,99 years,No,0,10,10,,,,,,,,,,,,,,,,,,
350,"City of Northampton, MA: URC density bonus",URC density bonus,City of Northampton,Town or city,1600000US2546330,Place,"210 Main Street, Northampton, MA 01060",Northampton,Hampshire,MA,Massachusetts,1060,"Certain zones, neighborhoods, or districts",2015,,Up to the developer to hire qualified entity for needs testing,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,,,,,,,,,Density bonus,On-site units,7 units,11% of total project units,No,,,,,,,,,99 years,No,99 years,No,0,0,0,,,,,,,,,,,,,,,,,,
351,"City of Peabody, MA: Section 6.11 Inclusionary Zoning Requirements",Section 6.11 Inclusionary Zoning Requirements,City of Peabody,Town or city,1600000US2552490,Place,"24 Lowell Street, Peabody, MA 01960",Peabody,Essex,MA,Massachusetts,1960,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",2004,2015,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Other zoning variances,"On-site units, off-site units, in-lieu fee",8 units,15% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,"$500,000 ",,,,,,,,,,,,,,,,,
352,"City of Pittsfield, MA: Section 7.715 C Multifamily Dwelling Requirements",Section 7.715 C Multifamily Dwelling Requirements,City of Pittsfield,Town or city,1600000US2553960,Place,"70 Allen Street, Pittsfield, MA 01201",Pittsfield,Berkshire,MA,Massachusetts,1201,Entire jurisdiction,2006,,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,On-site units,,30% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
